Species,Long,Lat ,MSB:Mamm:196608
C c merriami,-105.641615,36.064564,24692075
C c merriami,-107.952556,36.151348,24215470
C c merriami,-107.890459,36.148614,23641355
C c merriami,-107.803558,36.10363,18628612
C c merriami,-104.982698,36.081801,3520640
C c merriami,-107.879539,36.007919,3358078
C c merriami,-106.592244,35.872487,35839033
C c merriami,-106.555154,35.958813,35514321
C c merriami,-106.503212,35.913545,34529774
C c merriami,-106.412021,35.90137,33370494
C c merriami,-106.582262,35.814904,28918160
C c merriami,-106.569318,35.980856,15879311
C c merriami,-106.281467,35.926212,3220424
C c merriami,-106.599773,35.874772,9746592
C c merriami,-106.595814,35.813683,4925214
C c merriami,-106.477009,35.812422,3265649
C c merriami,-106.492606,35.936315,8209728
C c merriami,-106.592866,35.980458,5706242
C c merriami,-106.326607,35.68009,31404170
C c merriami,-106.078421,35.576228,28888065
C c merriami,-106.573445,35.071395,18710636
C c merriami,-108.717259,34.637267,36377991
C c merriami,-108.323303,34.68473,18174070
C c merriami,-105.482137,34.318177,15171204
C c merriami,-107.93757,34.079932,10558428
C c merriami,-105.761037,33.255468,39814837
C c merriami,-105.632655,33.294761,35515735
C c merriami,-105.721473,33.247139,34329714
C c merriami,-105.772998,33.281873,29284821
C c merriami,-105.685645,33.326357,29272125
C c merriami,-105.752787,33.3089,15426207
C c merriami,-105.728303,33.263812,15439152
C c merriami,-105.764965,33.324636,9466885
C c merriami,-105.700391,33.331649,5919779
C c merriami,-105.678852,33.006225,39341780
C c merriami,-108.142054,33.049651,21099086
C c merriami,-105.699897,33.011515,20023808
C c merriami,-105.089267,32.844356,21864287
C c merriami,-104.476416,32.024382,39119493
C c merriami,-104.423133,32.188956,32326700
C c merriami,-104.882614,32.1736,3906371
C c merriami,-107.237834,36.483633,38255223
C c merriami,-108.906264,33.645287,35620190
C c merriami,-104.892373,36.942316,34718809
C c merriami,-108.841504,33.853732,29505993
C c merriami,-108.855464,33.970554,29505984
C c merriami,-108.863923,33.986085,29505979
C c merriami,-106.426032,36.859198,18668165
C c merriami,-104.96603,44.707065,773071
C c merriami,-109.990409,31.256634,Mearns
C c merriami,-105.707989,32.994347,
C c merriami,-109.616669,33.897275,"Nelson 1902, Hornaday 1913"
C c merriami,-110.829027,32.410035,"Ferdinand Kaegebehn (New York Zoological Society), Hornaday 1913"
C c merriami,-107.845275,28.349945,Audubon 1850
C c merriami,-104.867992,31.900152,Audubon
C c merriami,-104.796495,32.000722,Old Ranchmen to Bailey
C c merriami,-109.989657,33.792565,Major John G. Bourke 1892 (On the Border with Crook)
C c merriami,-108.71996,33.637182,Mearns 1907 (January 1884) (Notes from Nelson to Mearns)
C c merriami,-109.37632,33.461686,Mearns 1907 (Fall 1885) (Notes from Nelson to Mearns)
